date,open,close,high,low,mid,ma7,ma30,pct_change,year_month,weekday
2026-05-28,1502.56,1496.4,1510.97,1493.2,1502.085,1506.5514285714287,1484.8756666666666,0.042958759590794315,2026-05,Thursday
2026-05-29,1496.4,1507.49,1510.61,1493.17,1501.89,1506.3807142857145,1485.9379999999999,-0.012981955082436158,2026-05,Friday
2026-06-01,1507.49,1514.57,1518.3,1501.95,1510.125,1507.2428571428572,1487.2005,0.5483091304955723,2026-06,Monday
2026-06-02,1514.58,1517.42,1520.1,1509.45,1514.775,1507.6657142857143,1488.4233333333332,0.3079215296746929,2026-06,Tuesday
2026-06-03,1517.45,1534.35,1537.79,1514.88,1526.335,1509.5142857142857,1489.9518333333333,0.7631496426862006,2026-06,Wednesday
2026-06-04,1534.34,1533.4,1540.64,1523.47,1532.055,1512.6721428571432,1491.6211666666666,0.3747539039594905,2026-06,Thursday
2026-06-05,1533.37,1559.78,1562.36,1532.37,1547.365,1519.2328571428573,1493.8556666666668,0.9993113824242617,2026-06,Friday
2026-06-08,1559.76,1526.87,1559.76,1525.85,1542.805,1525.0500000000004,1496.1655,-0.2946945290865366,2026-06,Monday
2026-06-09,1526.87,1522.92,1535.41,1509.79,1522.6,1528.0085714285713,1497.7433333333333,-1.309627593895546,2026-06,Tuesday
2026-06-10,1522.93,1523.47,1528.77,1515.11,1521.94,1529.6964285714287,1499.0508333333332,-0.04334690660711127,2026-06,Wednesday
2026-06-11,1523.46,1516.19,1533.96,1515.48,1524.72,1531.1171428571429,1500.5266666666664,0.18266160295412615,2026-06,Thursday
2026-06-12,1516.2,1518.61,1525.98,1515.21,1520.595,1530.297142857143,1502.157,-0.27054147646781157,2026-06,Friday
2026-06-15,1518.62,1513.62,1518.63,1503.98,1511.305,1527.3328571428574,1503.4818333333335,-0.6109450576912256,2026-06,Monday
2026-06-16,1513.61,1509.76,1522.04,1505.75,1513.895,1522.5514285714285,1504.8648333333335,0.17137506988993412,2026-06,Tuesday
2026-06-17,1509.77,1527.37,1532.99,1509.36,1521.175,1519.4614285714288,1507.0021666666667,0.4808787927828462,2026-06,Wednesday
2026-06-18,1527.4,1538.29,1543.63,1519.1,1531.365,1520.7135714285716,1509.6508333333331,0.6698769043666841,2026-06,Thursday
